Code,Name,StationTogether1,StationTogether2,LineCode1,LineCode2,LineCode3,LineCode4,LineCode5,Lat,Lon,Address.Street,Address.City,Address.State,Address.Zip,Line,Order
E01,Mt Vernon Sq 7th St-Convention Center,,,GR,YL,---,---,---,38.905604,-77.022256,700 M St. NW,Washington,DC,20001,Yellow,10
F01,Gallery Pl-Chinatown,B01,,YL,GR,RD,---,---,38.89834,-77.021851,630 H St. NW,Washington,DC,20001,Yellow,11
F02,Archives-Navy Memorial-Penn Quarter,,,GR,YL,---,---,---,38.893893,-77.021902,701 Pennsylvania Avenue NW,Washington,DC,20004,Yellow,12
F03,L'Enfant Plaza,D03,,YL,BL,GR,OR,SV,38.884775,-77.021964,600 Maryland Avenue SW,Washington,DC,20024,Yellow,13
C07,Pentagon,,,BL,YL,---,---,---,38.869349,-77.054013,2 South Rotary Road,Arlington,VA,22202,Yellow,14
C08,Pentagon City,,,BL,YL,---,---,---,38.863045,-77.059507,1250 South Hayes St.,Arlington,VA,22202,Yellow,15
C09,Crystal City,,,BL,YL,---,---,---,38.85779,-77.050589,1750 South Clark St.,Arlington,VA,22202,Yellow,16
C10,Ronald Reagan Washington National Airport,,,BL,YL,---,---,---,38.852985,-77.043805,2400 S. Smith Blvd.,Arlington,VA,22202,Yellow,17
C12,Braddock Road,,,BL,YL,---,---,---,38.814009,-77.053763,700 N. West St.,Alexandria,VA,22301,Yellow,18
C13,King St-Old Town,,,BL,YL,---,---,---,38.806474,-77.061115,1900 King Street,Alexandria,VA,22301,Yellow,19
C14,Eisenhower Avenue,,,YL,---,---,---,---,38.800313,-77.071173,2400 Eisenhower Avenue,Alexandria,VA,22314,Yellow,20
C15,Huntington,,,YL,---,---,---,---,38.793841,-77.075301,2501 Huntington Ave,Huntington,VA,22303,Yellow,21
